is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,guest_group_type,guest_origin
0,74,2015,July,27,3,7,2,1.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,69.4,0,0,Family,Foreign
0,75,2015,July,28,0,3,2,1.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,91.38,0,0,Family,Foreign
0,69,2015,July,28,2,5,3,0.0,0,BB,Offline TA/TO,0,0,0,A,1,No Deposit,0,88.4,0,1,Family,Foreign
0,64,2015,July,28,2,5,2,0.0,0,BB,Offline TA/TO,0,0,0,A,0,No Deposit,0,88.4,0,1,Couples,Foreign
0,138,2015,July,29,0,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,58.9,0,0,Couples,Foreign
0,115,2015,July,29,2,5,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,1,Couples,Foreign
0,102,2015,July,29,2,5,2,0.0,0,SC,Online TA,0,0,0,A,0,No Deposit,0,46.66,0,0,Couples,Foreign
0,100,2015,July,31,0,2,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,55.96,0,1,Couples,Foreign
0,78,2015,July,31,2,3,1,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,68.0,0,0,Solo,Foreign
0,117,2015,August,1,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,B,1,No Deposit,0,89.75,0,0,Couples,Foreign
0,117,2015,August,1,2,1,1,0.0,0,HB,Offline TA/TO,0,0,0,A,1,No Deposit,0,72.5,0,0,Solo,Foreign
1,117,2015,August,1,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
0,117,2015,August,1,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
0,117,2015,August,1,2,1,3,0.0,0,HB,Offline TA/TO,0,0,0,A,1,No Deposit,0,138.5,0,0,Family,Foreign
1,2,2015,August,1,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
1,117,2015,August,1,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
0,117,2015,August,1,2,1,1,0.0,0,HB,Offline TA/TO,0,0,0,A,1,No Deposit,0,72.5,0,0,Solo,Foreign
0,117,2015,August,1,2,1,1,1.0,0,HB,Offline TA/TO,0,0,0,B,2,No Deposit,0,80.75,0,1,Other,Foreign
0,4,2015,August,1,2,1,1,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,36.25,0,0,Solo,Foreign
0,135,2015,August,1,2,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,3,Couples,Foreign
0,2,2015,August,2,1,0,1,0.0,0,BB,Complementary,0,0,0,E,0,No Deposit,0,0.0,0,0,Solo,Foreign
0,83,2015,August,2,2,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,1,Couples,Foreign
0,28,2015,August,3,1,3,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,28,2015,August,3,1,3,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,3,2015,August,3,1,3,1,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,60.0,0,0,Solo,Foreign
0,28,2015,August,3,1,3,3,0.0,0,BB,Groups,0,0,0,A,1,No Deposit,0,84.0,0,0,Family,Foreign
0,28,2015,August,3,1,3,1,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,0.0,0,0,Solo,Foreign
0,111,2015,August,3,1,4,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,0,Couples,Foreign
0,0,2015,August,4,0,2,2,0.0,0,SC,Online TA,0,0,0,A,1,No Deposit,0,80.0,1,1,Couples,Foreign
0,0,2015,August,4,0,2,2,0.0,0,SC,Online TA,0,0,0,A,1,No Deposit,0,80.0,1,1,Couples,Foreign
0,1,2015,August,4,1,5,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,80.0,0,2,Couples,Foreign
0,34,2015,August,5,0,2,3,0.0,0,BB,Groups,0,0,0,A,1,No Deposit,0,84.0,0,0,Family,Foreign
0,34,2015,August,5,0,2,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,0,2015,August,5,0,1,2,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,75.0,0,0,Couples,Foreign
0,0,2015,August,5,0,1,1,0.0,0,BB,Complementary,0,0,0,E,0,No Deposit,0,0.0,0,0,Solo,Foreign
1,1,2015,August,5,0,1,1,0.0,0,BB,Corporate,0,0,0,A,0,No Deposit,0,6.0,0,0,Solo,Foreign
0,141,2015,August,5,0,2,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,85.5,1,1,Couples,Foreign
0,0,2015,August,5,0,2,2,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,75.0,0,0,Couples,Foreign
0,34,2015,August,5,0,2,1,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,0.0,0,0,Solo,Foreign
0,34,2015,August,5,0,2,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,1,2015,August,5,0,2,3,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,105.0,0,2,Family,Foreign
0,1,2015,August,5,0,2,2,0.0,0,BB,Direct,0,0,0,A,3,No Deposit,0,75.0,0,1,Couples,Foreign
0,119,2015,August,5,0,2,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,0,Couples,Foreign
0,12,2015,August,5,0,3,2,0.0,0,BB,Corporate,0,0,0,A,0,No Deposit,0,65.0,0,0,Couples,Foreign
0,12,2015,August,5,0,3,1,0.0,0,BB,Corporate,0,0,0,A,0,No Deposit,0,60.0,0,0,Solo,Foreign
0,135,2015,August,5,0,3,2,0.0,0,BB,Direct,0,0,0,B,2,No Deposit,0,76.5,0,3,Couples,Foreign
0,12,2015,August,5,0,3,2,0.0,0,BB,Corporate,0,0,0,A,0,No Deposit,0,65.0,0,0,Couples,Foreign
1,1,2015,August,5,0,3,1,0.0,0,BB,Corporate,0,0,0,A,0,No Deposit,0,60.0,0,0,Solo,Foreign
0,12,2015,August,5,0,3,1,0.0,0,BB,Corporate,0,0,0,A,0,No Deposit,0,0.0,0,0,Solo,Foreign
0,0,2015,August,5,0,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,90.0,0,2,Couples,Foreign
0,12,2015,August,5,0,3,3,0.0,0,BB,Corporate,0,0,0,A,0,No Deposit,0,90.0,0,0,Family,Foreign
0,135,2015,August,5,0,3,2,1.0,0,BB,Direct,0,0,0,B,2,No Deposit,0,76.5,0,2,Family,Foreign
0,1,2015,August,5,0,3,2,0.0,0,SC,Online TA,0,0,0,A,0,No Deposit,0,80.0,0,1,Couples,Foreign
0,0,2015,August,5,0,4,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,90.0,0,1,Couples,Foreign
0,83,2015,August,5,1,4,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,1,1,Couples,Foreign
0,83,2015,August,5,1,4,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,85.5,1,1,Couples,Foreign
0,34,2015,August,5,0,2,3,0.0,0,BB,Groups,0,0,0,A,1,No Deposit,0,84.0,0,0,Family,Foreign
0,0,2015,August,6,0,1,1,0.0,0,SC,Online TA,0,0,0,A,2,No Deposit,0,81.0,0,0,Solo,Foreign
0,0,2015,August,6,0,1,2,0.0,0,SC,Online TA,0,0,0,A,0,No Deposit,0,81.0,0,0,Couples,Foreign
0,0,2015,August,6,0,1,2,0.0,0,SC,Online TA,0,0,0,A,1,No Deposit,0,90.0,1,1,Couples,Foreign
0,0,2015,August,6,0,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,90.0,0,2,Couples,Foreign
0,0,2015,August,6,0,2,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,90.0,0,1,Couples,Foreign
0,92,2015,August,6,0,3,2,1.0,0,BB,Offline TA/TO,0,0,0,A,0,No Deposit,0,76.08,0,2,Family,Foreign
0,92,2015,August,6,0,3,2,0.0,0,BB,Offline TA/TO,0,0,0,A,0,No Deposit,0,63.75,0,1,Couples,Foreign
0,1,2015,August,6,2,3,1,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,67.0,0,1,Solo,Foreign
0,0,2015,August,6,2,5,1,0.0,0,BB,Direct,0,0,0,A,1,No Deposit,0,67.0,0,0,Solo,Foreign
0,0,2015,August,7,0,1,2,0.0,0,SC,Online TA,0,0,0,A,0,No Deposit,0,81.0,0,2,Couples,Foreign
0,36,2015,August,7,0,2,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,36,2015,August,7,0,2,3,0.0,0,BB,Groups,0,0,0,A,1,No Deposit,0,84.0,0,1,Family,Foreign
0,0,2015,August,7,0,2,2,2.0,0,SC,Online TA,0,0,0,F,0,No Deposit,0,153.0,0,1,Family,Foreign
0,1,2015,August,7,0,2,2,0.0,0,SC,Online TA,0,0,0,A,0,No Deposit,0,81.0,0,1,Couples,Foreign
0,36,2015,August,7,0,2,1,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,0.0,0,0,Solo,Foreign
0,36,2015,August,7,0,2,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,1,Couples,Foreign
0,1,2015,August,7,2,2,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,90.0,0,2,Couples,Foreign
0,2,2015,August,7,2,3,1,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,75.0,0,1,Solo,Foreign
0,1,2015,August,8,0,1,1,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,80.0,0,0,Solo,Foreign
0,0,2015,August,8,0,1,2,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,75.0,0,0,Couples,Foreign
0,1,2015,August,8,0,1,2,0.0,0,BB,Direct,0,0,0,A,2,No Deposit,0,75.0,0,2,Couples,Foreign
0,128,2015,August,8,1,1,2,1.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,2,Family,Foreign
0,1,2015,August,8,1,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,90.0,0,2,Couples,Foreign
1,124,2015,August,8,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
0,124,2015,August,8,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
0,124,2015,August,8,2,1,1,0.0,0,HB,Offline TA/TO,0,0,0,A,1,No Deposit,0,72.5,0,0,Solo,Foreign
0,30,2015,August,8,2,1,2,0.0,0,HB,Groups,0,0,0,A,0,No Deposit,0,86.0,0,0,Couples,Foreign
0,4,2015,August,8,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
0,124,2015,August,8,2,1,1,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,36.25,0,0,Solo,Foreign
0,0,2015,August,8,1,1,2,0.0,0,BB,Direct,0,0,0,D,1,No Deposit,0,100.0,0,0,Couples,Foreign
0,30,2015,August,8,2,1,3,0.0,0,HB,Groups,0,0,0,A,1,No Deposit,0,124.7,0,1,Family,Foreign
0,0,2015,August,8,2,1,2,2.0,0,SC,Online TA,0,0,0,F,0,No Deposit,0,153.0,0,0,Family,Foreign
0,0,2015,August,8,2,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,98.0,1,0,Couples,Foreign
0,16,2015,August,8,2,2,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,16,2015,August,8,2,2,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,16,2015,August,8,2,2,3,0.0,0,BB,Groups,0,0,0,A,1,No Deposit,0,84.0,0,1,Family,Foreign
0,16,2015,August,8,2,2,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,16,2015,August,8,2,2,1,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,0.0,0,0,Solo,Foreign
0,1,2015,August,8,2,2,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,90.0,0,2,Couples,Foreign
0,16,2015,August,8,2,2,1,0.0,0,BB,Groups,0,0,0,A,1,No Deposit,0,60.0,0,0,Solo,Foreign
0,16,2015,August,8,2,2,1,0.0,0,BB,Groups,0,0,0,A,1,No Deposit,0,60.0,0,0,Solo,Foreign
0,1,2015,August,8,2,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,98.0,0,0,Couples,Foreign
0,1,2015,August,8,2,4,2,0.0,0,SC,Online TA,0,0,0,A,0,No Deposit,0,81.0,0,0,Couples,Foreign
0,1,2015,August,8,2,5,1,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,88.0,0,2,Solo,Foreign
0,1,2015,August,9,2,3,2,2.0,0,SC,Online TA,0,0,0,F,0,No Deposit,0,153.0,0,1,Family,Foreign
0,109,2015,August,9,2,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,1,Couples,Foreign
0,123,2015,August,9,2,4,2,0.0,0,BB,Offline TA/TO,0,0,0,A,0,No Deposit,0,63.75,0,1,Couples,Foreign
0,0,2015,August,9,2,0,1,0.0,0,BB,Online TA,0,0,0,F,0,No Deposit,0,0.0,0,0,Solo,Foreign
0,2,2015,August,9,2,0,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,99.0,1,2,Couples,Foreign
0,0,2015,August,9,2,0,2,0.0,0,SC,Online TA,0,0,0,A,0,No Deposit,0,96.0,0,0,Couples,Foreign
0,0,2015,August,9,2,0,2,2.0,0,BB,Online TA,0,0,0,F,1,No Deposit,0,153.0,0,0,Family,Foreign
0,1,2015,August,9,2,0,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,98.0,0,0,Couples,Foreign
0,0,2015,August,9,2,0,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,98.0,0,2,Couples,Foreign
0,0,2015,August,9,2,0,2,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,105.0,0,0,Couples,Foreign
0,120,2015,August,9,2,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,2,Couples,Foreign
0,87,2015,August,9,2,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,2,Couples,Foreign
0,39,2015,August,10,1,1,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,1,Couples,Foreign
0,1,2015,August,10,1,1,2,0.0,0,BB,Direct,0,0,0,B,3,No Deposit,0,75.0,0,0,Couples,Foreign
0,3,2015,August,10,1,1,1,0.0,0,BB,Offline TA/TO,0,0,0,A,0,No Deposit,0,75.0,0,0,Solo,Foreign
0,39,2015,August,10,1,1,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,1,2015,August,10,1,0,2,0.0,0,BB,Online TA,0,0,0,A,1,No Deposit,0,105.0,0,0,Couples,Foreign
0,1,2015,August,10,1,0,2,0.0,0,SC,Online TA,0,0,0,A,0,No Deposit,0,96.0,0,2,Couples,Foreign
0,39,2015,August,10,1,1,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,3,2015,August,10,1,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,90.0,0,1,Couples,Foreign
0,1,2015,August,10,1,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,114.0,0,0,Couples,Foreign
0,0,2015,August,10,1,1,2,1.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,110.0,0,0,Family,Foreign
1,1,2015,August,10,1,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,105.0,0,0,Couples,Foreign
0,3,2015,August,10,1,1,2,2.0,0,BB,Online TA,0,0,0,F,0,No Deposit,0,162.0,1,0,Family,Foreign
0,105,2015,August,10,1,2,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,1,Couples,Foreign
0,3,2015,August,10,1,2,2,0.0,0,BB,Offline TA/TO,0,0,0,A,0,No Deposit,0,63.5,0,1,Couples,Foreign
0,5,2015,August,10,1,2,2,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,75.0,0,0,Couples,Foreign
0,1,2015,August,10,1,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,105.0,0,0,Couples,Foreign
0,0,2015,August,10,1,3,2,0.0,0,BB,Direct,0,0,0,A,1,No Deposit,0,75.0,0,1,Couples,Foreign
0,3,2015,August,10,1,3,2,0.0,0,SC,Online TA,0,0,0,A,0,No Deposit,0,81.0,0,1,Couples,Foreign
0,147,2015,August,10,1,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,55.96,0,0,Couples,Foreign
0,0,2015,August,10,1,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,124.0,0,0,Couples,Foreign
0,1,2015,August,10,1,3,2,0.0,0,SC,Online TA,0,0,0,A,0,No Deposit,0,96.0,0,1,Couples,Foreign
0,0,2015,August,10,1,3,2,0.0,0,SC,Online TA,0,0,0,A,1,No Deposit,0,115.0,0,0,Couples,Foreign
0,0,2015,August,10,1,3,1,0.0,0,BB,Online TA,0,0,0,A,1,No Deposit,0,114.0,0,0,Solo,Foreign
0,0,2015,August,10,1,3,2,0.0,0,SC,Online TA,0,0,0,A,2,No Deposit,0,115.0,0,0,Couples,Foreign
0,6,2015,August,10,1,5,2,0.0,0,SC,Online TA,0,0,0,A,0,No Deposit,0,80.0,0,1,Couples,Foreign
0,0,2015,August,10,1,1,2,0.0,0,BB,Direct,0,0,0,A,1,No Deposit,0,75.0,0,0,Couples,Foreign
0,0,2015,August,10,2,5,2,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,75.0,0,1,Couples,Foreign
0,1,2015,August,10,2,5,2,0.0,0,BB,Direct,0,0,0,A,1,No Deposit,0,75.0,0,0,Couples,Foreign
0,140,2015,August,10,3,6,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,2,Couples,Foreign
0,0,2015,August,11,0,1,2,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,90.0,0,1,Couples,Foreign
0,0,2015,August,11,0,1,1,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,114.0,0,1,Solo,Foreign
0,1,2015,August,11,0,2,2,2.0,0,SC,Online TA,0,0,0,F,1,No Deposit,0,162.0,1,0,Family,Foreign
0,2,2015,August,11,0,2,2,2.0,0,BB,Direct,0,0,0,D,0,No Deposit,0,15.0,0,2,Family,Foreign
0,0,2015,August,11,0,2,1,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,144.0,0,0,Solo,Foreign
0,2,2015,August,11,0,2,2,1.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,90.0,0,1,Family,Foreign
0,3,2015,August,11,0,2,2,0.0,0,SC,Online TA,0,0,0,A,1,No Deposit,0,89.0,0,0,Couples,Foreign
0,0,2015,August,11,0,2,1,0.0,0,BB,Direct,0,0,0,A,1,No Deposit,0,68.0,0,0,Solo,Foreign
0,0,2015,August,11,0,2,1,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,144.0,0,0,Solo,Foreign
0,3,2015,August,11,0,2,1,2.0,0,BB,Online TA,0,0,0,A,1,No Deposit,0,107.0,1,0,Other,Foreign
0,1,2015,August,11,0,3,1,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,114.0,0,0,Solo,Foreign
0,104,2015,August,11,0,3,1,2.0,0,BB,Online TA,0,0,0,B,1,No Deposit,0,6.0,0,2,Other,Foreign
0,1,2015,August,11,0,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,105.0,0,3,Couples,Foreign
0,0,2015,August,11,0,3,2,0.0,0,BB,Online TA,0,0,0,A,1,No Deposit,0,124.0,0,0,Couples,Foreign
0,104,2015,August,11,0,3,2,0.0,0,BB,Online TA,0,0,0,B,0,No Deposit,0,67.9,1,2,Couples,Foreign
0,1,2015,August,11,0,4,2,2.0,0,SC,Online TA,0,0,0,F,0,No Deposit,0,153.0,0,1,Family,Foreign
0,1,2015,August,11,0,1,2,0.0,0,BB,Direct,0,0,0,A,1,No Deposit,0,75.0,0,0,Couples,Foreign
0,1,2015,August,11,0,1,1,0.0,0,BB,Corporate,0,0,0,A,0,No Deposit,0,70.0,0,0,Solo,Foreign
0,2,2015,August,11,0,2,2,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,62.8,0,0,Couples,Foreign
0,4,2015,August,11,0,5,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,90.0,0,2,Couples,Foreign
0,1,2015,August,11,3,10,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,106.54,0,0,Couples,Foreign
0,5,2015,August,11,4,10,2,0.0,0,BB,Direct,0,0,0,A,3,No Deposit,0,75.0,0,2,Couples,Foreign
0,0,2015,August,11,0,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,133.0,1,1,Couples,Foreign
0,0,2015,August,12,0,1,2,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,75.0,0,0,Couples,Foreign
0,107,2015,August,12,0,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,0,Couples,Foreign
0,5,2015,August,12,0,1,2,0.0,0,BB,Offline TA/TO,0,0,0,A,0,No Deposit,0,75.0,0,0,Couples,Foreign
1,0,2015,August,12,0,1,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.8,0,0,Couples,Foreign
0,2,2015,August,12,0,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,114.0,1,1,Couples,Foreign
0,41,2015,August,12,0,2,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,123,2015,August,12,0,2,2,0.0,0,BB,Online TA,0,0,0,A,2,No Deposit,0,76.5,0,1,Couples,Foreign
0,0,2015,August,12,0,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,138.0,0,0,Couples,Foreign
0,0,2015,August,12,0,3,2,1.0,0,BB,Direct,0,0,0,A,1,No Deposit,0,75.0,0,0,Family,Foreign
0,0,2015,August,12,0,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,138.0,0,0,Couples,Foreign
0,6,2015,August,12,1,4,2,0.0,0,BB,Direct,0,0,0,A,0,No Deposit,0,75.0,0,0,Couples,Foreign
0,4,2015,August,12,2,7,2,0.0,0,BB,Online TA,0,0,0,A,1,No Deposit,0,93.56,0,2,Couples,Foreign
0,1,2015,August,12,3,9,1,0.0,0,BB,Direct,0,0,0,A,2,No Deposit,0,75.0,0,0,Solo,Foreign
0,6,2015,August,12,0,4,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,90.0,0,2,Couples,Foreign
0,0,2015,August,12,0,4,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,1,Couples,Foreign
0,0,2015,August,13,0,1,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,138.0,0,0,Couples,Foreign
0,3,2015,August,13,0,1,2,2.0,0,SC,Online TA,0,0,0,F,0,No Deposit,0,153.0,0,0,Family,Foreign
0,0,2015,August,13,0,2,2,0.0,0,BB,Direct,0,0,0,A,3,No Deposit,0,89.0,0,0,Couples,Foreign
0,119,2015,August,13,0,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,85.5,1,1,Couples,Foreign
0,134,2015,August,13,0,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,2,Couples,Foreign
0,8,2015,August,13,0,3,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,90.0,0,2,Couples,Foreign
